이름,연도,이닝,ERA,FIP,WHIP,war,연봉
최영환,21  P,40.2,6.2,5.2,1.7,0.24,3500
윤명준,21  P,45.2,4.73,4.69,1.6,0.17,15600
김명신,21  P,67.0,4.3,4.15,1.28,0.13,4500
김민규,21  P,56.1,6.07,5.7,1.63,0.13,5500
박진태,21  P,65.0,5.95,5.47,1.6,0.00,5000
김대우,21  P,51.0,6.35,5.05,1.63,-0.03,15500
박소준,21  P,59.2,5.73,4.65,1.64,-0.08,3500
박준표,20  P,51.2,1.57,2.92,0.95,2.55,11000
정우영,20  P,75.0,3.12,4.08,1.03,2.03,8000
조현우,20  P,46.2,3.09,4.01,1.29,1.80,3000
전상현,20  P,47.2,2.45,3.07,1.2,1.72,7600
김재윤,20  P,60.2,3.26,3.64,1.27,1.47,12000
박민호,20  P,52.0,2.42,4.43,1.19,1.45,10000
박치국,20  P,71.2,2.89,4.04,1.38,1.45,8000
임정호,20  P,41.0,4.61,4.59,1.27,1.40,9200
이승현,20  P,54.1,3.48,5.44,1.29,1.24,10000
구승민,20  P,60.1,3.58,4.45,1.09,1.22,8000
김진성,20  P,47.1,2.66,2.7,1.08,1.08,16000
홍상삼,20  P,48.0,5.06,5.74,1.79,1.03,4000
최동환,20  P,57.0,3.47,4.17,1.16,0.95,7000
김대우,20  P,49.1,3.1,3.82,1.5,0.92,11500
김대우,20  P,77.2,5.1,5.46,1.56,0.91,11500
김민규,20  P,53.1,4.89,3.53,1.29,0.83,2900
김진영,20  P,54.0,3.33,4.16,1.3,0.81,3200
유원상,20  P,64.0,3.8,5.39,1.25,0.78,4000
양현,20  P,60.0,3.3,4.45,1.25,0.72,9000
조영우,20  P,77.0,5.96,5.7,1.57,0.72,3300
최지광,20  P,44.1,4.87,4.16,1.47,0.68,8000
전유수,20  P,45.2,5.12,4.72,1.47,0.55,10000
김기훈,20  P,52.0,5.37,5.92,1.71,0.42,3500
문경찬,20  P,52.0,5.02,5.41,1.27,0.40,11500
최성영,20  P,60.2,6.08,7.37,1.68,0.39,9500
홍건희,20  P,68.2,4.98,4.42,1.4,0.37,5300
이승진,20  P,51.1,5.61,3.51,1.5,0.35,4700
김이환,20  P,64.2,6.82,6.37,1.84,0.33,3700
김영규,20  P,67.2,5.45,4.81,1.43,0.24,6300
하준호,20  P,41.2,6.05,4.88,1.56,0.21,4500
김윤수,20  P,58.0,4.66,5.06,1.67,0.16,3700
박진형,20  P,42.2,5.7,4.18,1.62,0.15,9000
배재환,20  P,43.0,3.98,6.28,1.7,0.14,10500
박상원,20  P,58.0,4.66,4.62,1.41,0.12,11000
조성운,20  P,45.0,5.4,5.35,1.49,-0.02,3000
김종수,20  P,50.0,5.94,5.07,1.6,-0.08,3800
고우석,19  P,71.0,1.52,3.16,1.08,3.34,6200
프리드릭,19  P,72.0,2.75,3.56,1.18,2.75,15000
문경찬,19  P,55.0,1.31,2.48,1.0,2.46,5500
서진용,19  P,68.0,2.38,2.6,1.19,2.39,9000
전상현,19  P,60.2,3.12,2.92,1.09,2.30,3300
박준표,19  P,56.0,2.09,3.82,0.86,2.13,6500
최성영,19  P,82.1,3.94,4.32,1.55,2.07,5800
오주원,19  P,54.1,2.32,2.71,1.12,2.01,15000
진명호,19  P,63.1,3.41,4.16,1.44,2.00,7300
김재윤,19  P,47.2,2.27,3.32,0.82,1.56,10000
양현,19  P,40.2,1.99,3.48,1.03,1.45,6000
박시영,19  P,61.2,4.23,3.9,1.26,1.44,5000
김태훈,19  P,69.2,3.88,3.1,1.26,1.37,18000
조상우,19  P,47.1,2.66,2.79,1.12,1.28,6000
정영일,19  P,42.0,3.21,3.63,1.29,1.20,3000
배재환,19  P,54.1,3.81,3.77,1.47,1.19,4300
윤영삼,19  P,62.2,2.87,3.22,1.18,1.17,6000
김성민,19  P,56.1,2.56,2.84,1.14,1.04,2700
임현준,19  P,42.1,3.4,3.4,1.09,0.93,5500
김건국,19  P,66.2,4.46,4.62,1.5,0.91,3000
최지광,19  P,68.0,4.1,4.22,1.53,0.91,3100
강윤구,19  P,56.1,4.47,4.02,1.4,0.88,8500
김건태,19  P,51.1,3.68,4.62,1.27,0.84,5700
장필준,19  P,69.2,3.62,4.62,1.39,0.81,17000
윤명준,19  P,68.1,2.63,3.91,1.21,0.74,14500
고효준,19  P,62.1,4.76,3.81,1.51,0.66,9000
김민수,19  P,81.2,4.96,4.73,1.43,0.61,3300
이형범,19  P,61.0,2.66,4.69,1.25,0.60,5500
이우찬,19  P,91.0,4.85,5.25,1.58,0.58,3100
박민호,19  P,50.1,2.68,4.3,1.25,0.54,4000
진해수,19  P,42.0,3.43,3.44,1.43,0.51,18000
박진형,19  P,40.1,4.02,3.87,1.26,0.50,7000
김동준,19  P,70.0,4.5,3.89,1.43,0.45,5600
임준섭,19  P,49.1,4.2,4.56,1.7,0.31,8800
김승회,19  P,58.2,3.07,3.0,1.24,0.24,10000
