이름,연도,이닝,ERA,FIP,WHIP,war,연봉
카펜터,21  P,170.0,3.97,3.91,1.31,2.79,30000
안우진,21  P,107.2,3.26,4.0,1.2,2.73,9000
쿠에바스,21  P,133.1,4.12,3.44,1.37,2.52,50000
최채흥,21  P,122.1,4.56,4.61,1.47,2.51,16000
이민호,21  P,115.0,4.3,4.53,1.17,2.13,7000
정찬헌,21  P,114.1,4.01,4.0,1.4,2.13,20000
프랑코,21  P,150.0,5.4,5.25,1.48,2.10,24500
소형준,21  P,119.0,4.16,4.01,1.46,2.10,14000
최원태,21  P,143.1,4.58,4.38,1.51,1.51,29000
송명기,21  P,123.1,5.91,4.52,1.66,1.48,11000
이태양,21  P,103.2,5.73,6.1,1.5,0.74,10000
알칸타라,20  P,198.2,2.54,3.03,1.03,8.98,45000
스트레일리,20  P,194.2,2.5,2.9,1.02,8.18,50000
브룩스,20  P,151.1,2.5,2.72,1.02,7.93,47900
루친스키,20  P,183.0,3.05,3.78,1.26,6.87,100000
요키시,20  P,159.2,2.14,3.24,1.06,6.08,55000
뷰캐넌,20  P,174.2,3.45,4.36,1.27,5.71,60000
켈리,20  P,173.1,3.32,4.07,1.15,5.57,90000
가뇽,20  P,159.2,4.34,3.73,1.42,4.68,65000
문승원,20  P,145.2,3.65,4.13,1.24,4.23,25700
최채흥,20  P,146.0,3.58,4.1,1.25,4.22,7500
데스파이네,20  P,207.2,4.33,4.33,1.45,4.12,45000
플렉센,20  P,116.2,3.01,2.58,1.09,3.94,60000
쿠에바스,20  P,158.0,4.1,4.54,1.25,3.49,60000
최원준,20  P,123.0,3.8,4.59,1.37,3.46,7000
배제성,20  P,141.1,3.95,5.29,1.46,3.43,11000
라이트,20  P,157.2,4.68,4.35,1.44,3.37,80000
브리검,20  P,107.0,3.62,3.57,1.31,3.16,80000
김민우,20  P,132.2,4.34,4.83,1.45,3.11,4200
박종훈,20  P,157.1,4.81,4.9,1.42,3.11,29000
정찬헌,20  P,110.1,3.51,4.13,1.33,3.07,13000
임기영,20  P,127.2,5.15,4.06,1.45,2.99,7000
라이블리,20  P,112.0,4.26,4.45,1.22,2.98,50000
임찬규,20  P,147.2,4.08,4.26,1.41,2.83,13500
윌슨,20  P,144.2,4.42,4.19,1.38,2.74,110000
박세웅,20  P,147.1,4.7,4.94,1.52,2.74,11000
노경은,20  P,133.0,4.87,5.2,1.35,2.74,20000
원태인,20  P,140.0,4.89,5.55,1.56,2.44,8000
이영하,20  P,132.0,4.64,4.82,1.62,2.39,27000
한현희,20  P,135.2,4.98,4.01,1.31,2.33,29000
서폴드,20  P,165.0,4.91,4.93,1.48,2.19,90000
이승호,20  P,118.2,5.08,5.14,1.45,2.10,8500
장시환,20  P,132.2,5.02,5.09,1.61,2.05,11000
이건욱,20  P,122.0,5.68,5.41,1.52,1.84,3000
샘슨,20  P,130.0,5.4,4.61,1.56,1.69,50000
최원태,20  P,110.0,5.07,5.42,1.38,1.49,37000
유희관,20  P,136.1,5.02,5.15,1.68,1.38,47000
서준원,20  P,107.2,5.18,5.38,1.5,1.31,4600
핀토,20  P,162.0,6.17,5.58,1.78,1.15,45000
이민우,20  P,106.0,6.79,5.2,1.66,0.61,4300
김광현,19  P,190.1,2.51,2.91,1.24,7.30,150000
산체스,19  P,165.0,2.62,2.54,1.17,6.64,95000
린드블럼,19  P,194.2,2.5,2.73,1.0,6.32,170000
루친스키,19  P,177.1,3.05,3.98,1.18,5.55,60000
레일리,19  P,181.0,3.88,3.78,1.41,5.16,117000
요키시,19  P,181.1,3.13,3.31,1.13,5.12,50000
채드벨,19  P,177.1,3.5,4.14,1.31,5.06,40000
서폴드,19  P,192.1,3.51,3.53,1.27,4.98,70000
브리검,19  P,158.1,2.96,3.27,1.23,4.72,90000
최원태,19  P,157.1,3.38,3.33,1.28,4.23,27000
박진우,19  P,140.2,3.14,3.99,1.18,4.17,4000
문승원,19  P,144.0,3.88,4.77,1.13,4.16,9000
켈리,19  P,180.1,2.55,3.5,1.14,4.03,60000
윌슨,19  P,185.0,2.92,3.23,1.16,3.70,90000
이영하,19  P,163.1,3.64,4.12,1.28,3.57,10000
유희관,19  P,166.1,3.25,4.26,1.28,3.55,35000
박종훈,19  P,144.0,3.88,4.62,1.5,3.51,32000
쿠에바스,19  P,184.0,3.62,4.4,1.17,3.30,37000
구창모,19  P,107.0,3.2,3.62,1.18,3.30,12500
다익손,19  P,149.1,4.34,4.0,1.37,3.19,60000
윌랜드,19  P,165.0,4.75,4.14,1.52,3.02,70000
백정현,19  P,157.0,4.24,5.02,1.36,2.99,21000
알칸타라,19  P,172.2,4.01,4.02,1.25,2.98,45000
이재학,19  P,129.2,3.75,3.85,1.36,2.75,24500
후랭코프,19  P,117.1,3.61,3.09,1.19,2.44,110000
장시환,19  P,125.1,4.95,4.23,1.64,2.27,8500
윤성환,19  P,145.1,4.77,5.05,1.5,2.15,40000
배제성,19  P,131.2,3.76,4.01,1.43,2.11,3100
이승호,19  P,122.2,4.48,4.42,1.51,1.88,5000
차우찬,19  P,168.1,4.12,4.28,1.43,1.84,100000
이용찬,19  P,148.1,4.07,4.34,1.44,1.72,39000
맥과이어,19  P,112.1,5.05,4.84,1.65,1.56,95000
장민재,19  P,119.1,5.43,3.91,1.48,1.21,9000
김민,19  P,150.2,4.96,4.98,1.59,0.85,4000
터너,19  P,153.1,5.46,4.28,1.55,0.73,70000
최채흥,19  P,106.2,4.81,3.89,1.53,0.70,4000
김원중,19  P,102.1,5.63,4.65,1.7,0.63,10000
김범수,19  P,103.0,5.68,5.62,1.71,0.47,5800
윌슨,18  P,170.0,3.07,3.66,1.14,6.89,80000
브리검,18  P,199.0,3.84,4.36,1.2,6.31,65000
김광현,18  P,136.0,2.98,4.09,1.14,6.22,140000
소사,18  P,181.1,3.52,3.43,1.21,6.02,120000
린드블럼,18  P,168.2,2.88,3.99,1.07,5.99,135000
니퍼트,18  P,175.2,4.25,4.59,1.41,5.29,50000
켈리,18  P,158.1,4.09,4.33,1.26,5.23,140000
박종훈,18  P,159.1,4.18,4.89,1.33,5.09,20000
아델만,18  P,171.0,5.05,4.91,1.5,4.34,95000
피어밴드,18  P,163.1,4.3,4.7,1.37,4.22,85000
최원태,18  P,134.1,3.95,4.24,1.33,4.15,15000
이용찬,18  P,144.0,3.63,4.68,1.3,4.09,23500
후랭코프,18  P,149.1,3.74,4.66,1.16,3.99,70000
레일리,18  P,178.1,4.74,4.69,1.31,3.96,111000
노경은,18  P,132.1,4.08,5.06,1.19,3.95,10000
보니야,18  P,168.0,5.3,5.11,1.52,3.83,70000
문승원,18  P,150.2,4.6,5.06,1.44,3.61,9000
헥터,18  P,174.0,4.6,4.78,1.41,3.58,170000
백정현,18  P,125.2,4.58,5.04,1.42,3.50,15500
이재학,18  P,152.1,4.79,4.64,1.35,3.46,19000
산체스,18  P,145.1,4.89,5.3,1.38,3.18,85000
한현희,18  P,169.0,4.79,5.61,1.52,3.16,23000
샘슨,18  P,161.2,4.68,4.19,1.38,3.04,40000
왕웨이중,18  P,141.2,4.26,4.68,1.48,3.00,50000
듀브론트,18  P,137.1,4.92,5.05,1.63,2.92,90000
베렛,18  P,155.0,5.28,5.23,1.53,2.83,10000
고영표,18  P,142.0,5.13,4.26,1.41,2.70,11500
금민철,18  P,156.1,5.41,6.0,1.79,2.69,8000
구창모,18  P,133.0,5.35,5.42,1.58,2.07,9000
휠러,18  P,101.2,5.13,4.78,1.59,1.68,47500
차우찬,18  P,170.0,6.09,5.84,1.51,1.67,100000
김재영,18  P,111.1,5.66,6.06,1.55,1.64,5300
팻딘,18  P,129.1,6.26,5.21,1.55,1.53,70000
임찬규,18  P,146.2,5.77,5.33,1.65,1.41,11500
임기영,18  P,105.0,6.26,6.29,1.7,1.21,13000
김원중,18  P,145.1,6.94,6.14,1.72,1.11,6300
윤성환,18  P,117.1,6.98,6.37,1.67,1.01,80000
이영하,18  P,122.2,5.28,5.56,1.58,0.94,4200
신재영,18  P,101.1,6.75,7.6,1.54,0.40,14000
김대현,18  P,105.0,7.54,6.21,1.84,-0.15,7000
유희관,18  P,141.0,6.7,5.86,1.7,-0.18,50000
헥터,17  P,201.2,3.48,4.35,1.32,7.32,170000
양현종,17  P,193.1,3.44,3.93,1.31,6.15,150000
피어밴드,17  P,160.0,3.04,4.37,1.15,6.09,35000
윤성환,17  P,174.1,4.28,4.77,1.25,5.84,80000
장원준,17  P,180.1,3.14,4.38,1.24,5.68,100000
레일리,17  P,187.1,3.8,4.34,1.3,5.61,85000
켈리,17  P,190.0,3.6,3.6,1.31,5.54,85000
박세웅,17  P,171.1,3.68,5.13,1.32,5.49,10000
해커,17  P,160.1,3.42,4.56,1.17,5.21,60000
