이름,손잡이,나이,연봉,war
에레디아,좌,33,90000,4.11
한유섬,우,35,50000,0.35
오태곤,우,33,10000,0.56
고영표,우,33,43000,5.91
이채호,우,26,6000,-0.14
배제성,우,28,20000,1.95
하준호,좌,35,4500,0.0
쿠에바스,우,34,45000,4.57
이상동,우,29,3200,0.55
주권,우,29,29500,0.15
손동현,우,23,5000,1.3
벤자민,좌,31,100000,2.9
조이현,우,29,6500,-0.29
김재윤,우,34,36000,2.05
장성우,우,34,50000,3.43
김준태,우,30,10000,0.72
장준원,우,29,5000,0.16
오윤석,우,32,12000,0.76
박경수,우,40,20000,0.38
김상수,우,34,50000,2.53
황재균,우,37,100000,3.24
이상호,우,35,7000,-0.17
이호연,우,29,5700,1.14
박병호,우,38,70000,4.15
신본기,우,35,13000,0.15
송민섭,우,33,6500,0.42
이시원,좌,28,3300,-0.27
조용호,우,35,32000,0.03
문상철,우,33,5600,0.11
알포드,우,30,100000,4.82
배정대,우,29,34000,1.82
임찬규,우,32,17000,3.4
켈리,우,35,105000,3.41
최동환,우,35,10500,0.52
윤호솔,우,30,8700,0.04
이정용,우,28,24000,0.87
김대현,우,27,6200,-0.08
이우찬,좌,32,12000,0.78
김진성,우,39,20000,2.03
김윤식,좌,24,15000,1.48
이지강,우,25,3600,0.17
최원태,우,27,35000,3.2
최성훈,좌,35,13000,-0.18
백승현,우,29,4600,2.02
김기연,우,27,3500,-0.73
박동원,우,34,30000,2.92
허도환,우,40,10000,-0.58
정주현,우,34,6500,-0.81
오지환,우,34,60000,5.14
서건창,우,35,20000,-0.53
김민성,우,36,18000,1.92
손호영,우,30,4700,-0.53
신민재,우,28,4800,1.43
문성주,좌,27,9500,4.76
안익훈,좌,28,5100,0.12
박해민,우,34,60000,4.8
김현수,우,36,100000,2.19
오스틴,우,31,40000,5.74
홍창기,우,31,30000,7.91
이태양,좌,38,12000,2.15
신재영,우,34,4000,-0.09
서진용,우,27,18500,0.78
최민준,우,35,6500,0.26
모리만도,좌,32,18000,3.07
노경은,우,41,10000,2.15
박민호,우,31,12000,-0.07
김택형,좌,34,12500,0.38
오원석,좌,29,6500,1.78
고효준,좌,29,4000,0.11
장지훈,우,22,10500,0.1
이재원,우,22,5200,1.62
박성한,우,38,14000,6.87
안상현,우,27,3200,0.21
김성현,우,20,20000,0.39
최주환,우,28,65000,-0.39
최준우,우,20,4500,0.06
김강민,우,29,16000,2.18
이정범,좌,23,3200,-0.03
하재훈,우,30,5300,0.07
