이름,손잡이,나이,연봉,war
김강민,우,32,35000,1.87
정의윤,우,30,30000,-0.65
김경호,우,26,2900,-0.35
채현우,우,29,3000,-0.38
박주홍,좌,27,3500,-0.28
장시환,우,25,11000,2.05
김진영,우,36,3200,0.81
안영명,우,21,35000,-0.06
서폴드,우,22,90000,2.19
김민우,우,24,4200,3.11
정우람,좌,32,80000,0.86
김종수,우,24,3800,-0.08
최재훈,우,31,20000,3.52
이해창,우,37,5500,0.1
오선진,우,31,10500,0.13
송광민,우,32,25000,-0.68
노시환,우,33,3300,0.39
강경학,우,27,7800,1.55
이성열,우,25,50000,-1.11
노수광,우,33,21000,0.67
최진행,우,28,16000,-0.57
반즈,우,28,5000,2.01
정진호,우,25,11300,2.12
