이름,연도,dWAR,타석,홈런,타율,출루,장타,war,연봉
김도환,20  C,0.02,49,0,0.22,0.292,0.268,-0.25,5000
유민상,20  1B,-1.62,456,8,0.246,0.341,0.366,-0.25,6000
이성규,20  1B,0.0,245,10,0.181,0.257,0.361,-0.27,4300
박재욱,20  C,-0.19,17,0,0.267,0.313,0.267,-0.28,3500
박승욱,20  2B,-0.62,128,1,0.264,0.349,0.355,-0.3,8000
김문호,20  CF,-0.29,52,2,0.217,0.308,0.37,-0.3,5000
김경호,20  LF,-0.2,110,0,0.286,0.303,0.333,-0.35,2900
최준우,20  2B,-0.27,207,3,0.236,0.307,0.308,-0.37,3100
채현우,20  LF,-0.13,24,0,0.13,0.167,0.174,-0.38,3000
이흥련,20  C,0.13,132,3,0.24,0.273,0.32,-0.38,7500
강민국,20  2B,-0.08,120,0,0.224,0.272,0.252,-0.4,4000
박병호,19  1B,0.59,532,33,0.28,0.398,0.56,7.8,150000
오지환,19  SS,4.01,547,9,0.252,0.339,0.378,7.73,40000
김하성,19  SS,0.18,625,19,0.307,0.389,0.491,7.08,32000
로하스,19  LF,-0.15,578,24,0.322,0.381,0.53,6.47,100000
양의지,19  C,0.0,459,20,0.354,0.438,0.574,6.21,200000
황재균,19  3B,2.31,507,20,0.283,0.357,0.467,6.16,120000
최정,19  3B,0.02,606,29,0.292,0.399,0.519,6.14,120000
박세혁,19  C,3.05,505,4,0.279,0.345,0.39,6.03,10000
박민우,19  2B,1.13,526,1,0.344,0.403,0.434,5.83,38000
페르난데스,19  DH,-1.76,645,15,0.344,0.409,0.483,5.73,30000
오재일,19  1B,0.17,529,21,0.293,0.369,0.495,5.14,30000
박건우,19  RF,-0.46,537,10,0.319,0.397,0.465,5.13,38500
호잉,19  RF,1.23,525,18,0.284,0.34,0.46,5.11,80000
최재훈,19  C,1.68,451,3,0.29,0.398,0.362,4.96,12500
샌즈,19  RF,-2.69,613,28,0.305,0.396,0.543,4.86,50000
최형우,19  DH,-0.81,555,17,0.3,0.413,0.485,4.81,150000
강백호,19  RF,-1.07,505,13,0.336,0.416,0.495,4.62,12000
김재호,19  SS,1.71,470,4,0.268,0.379,0.358,4.53,65000
이정후,19  LF,-0.77,630,6,0.336,0.386,0.456,4.53,23000
러프,19  1B,-1.12,568,22,0.292,0.396,0.515,4.13,170000
이형종,19  LF,0.73,482,13,0.286,0.358,0.442,4.11,17000
심우준,19  SS,2.67,433,3,0.279,0.328,0.34,4.07,8500
노진혁,19  SS,2.01,390,13,0.264,0.326,0.454,4.07,10000
박해민,19  CF,2.74,581,5,0.239,0.318,0.328,3.92,36000
정수빈,19  CF,1.25,513,0,0.265,0.354,0.331,3.79,24500
박경수,19  2B,1.87,490,10,0.247,0.335,0.375,3.74,40000
유강남,19  C,0.77,468,16,0.27,0.334,0.438,3.68,21000
채은성,19  RF,-0.42,514,12,0.315,0.358,0.434,3.68,31000
김선빈,19  SS,0.87,447,3,0.292,0.36,0.371,3.57,30000
박동원,19  C,0.87,361,10,0.297,0.367,0.445,3.56,9000
김재환,19  LF,-0.61,574,15,0.283,0.362,0.434,3.49,73000
손아섭,19  RF,0.22,568,10,0.295,0.36,0.4,3.45,150000
로맥,19  1B,-2.16,589,29,0.276,0.37,0.508,3.35,105000
구자욱,19  RF,0.6,526,15,0.267,0.327,0.444,3.25,30000
김현수,19  LF,-1.25,595,11,0.304,0.37,0.437,3.1,130000
고종욱,19  LF,-0.21,513,3,0.323,0.347,0.421,3.07,11000
박석민,19  3B,-0.93,444,19,0.267,0.393,0.478,3.06,75000
김혜성,19  2B,1.45,387,0,0.276,0.332,0.362,3.06,7000
유한준,19  RF,-1.69,562,14,0.317,0.383,0.443,3.03,60000
허경민,19  3B,-0.05,540,4,0.288,0.35,0.371,3.03,38500
이명기,19  RF,0.49,547,2,0.293,0.359,0.353,3.02,22000
전준우,19  LF,-1.56,606,22,0.301,0.359,0.481,2.87,50000
김상수,19  2B,-0.11,543,5,0.271,0.358,0.355,2.79,25000
김태진,19  LF,1.42,399,5,0.275,0.305,0.38,2.64,3300
서건창,19  2B,-0.43,486,2,0.3,0.373,0.383,2.53,35000
민병헌,19  CF,-0.97,420,9,0.304,0.379,0.453,2.52,125000
강민호,19  C,1.36,393,13,0.234,0.315,0.405,2.32,125000
김민혁,19  LF,0.76,521,0,0.281,0.341,0.307,2.26,3400
정은원,19  2B,0.23,624,8,0.262,0.317,0.374,2.2,5500
김강민,19  CF,1.25,460,8,0.27,0.324,0.37,2.13,40000
노수광,19  LF,0.73,445,2,0.25,0.333,0.312,2.01,26500
안치홍,19  2B,-0.75,408,5,0.315,0.38,0.412,2.01,50000
권희동,19  RF,-0.44,413,6,0.256,0.358,0.356,1.99,14000
터커,19  RF,-1.59,399,9,0.311,0.381,0.479,1.95,18000
김태균,19  DH,-1.84,500,6,0.305,0.382,0.395,1.88,100000
김민성,19  3B,-0.03,401,8,0.26,0.323,0.371,1.84,40000
장성우,19  C,1.21,413,7,0.262,0.325,0.339,1.82,9500
조셉,19  1B,0.35,217,9,0.274,0.332,0.426,1.79,70000
류지혁,19  SS,0.92,316,0,0.25,0.323,0.286,1.78,12500
한동민,19  RF,-1.06,502,12,0.265,0.375,0.396,1.76,33000
나성범,19  RF,0.11,106,4,0.366,0.443,0.645,1.75,55000
김헌곤,19  LF,-0.42,467,5,0.297,0.361,0.387,1.68,15500
이천웅,19  CF,-2.06,613,2,0.308,0.378,0.374,1.61,15000
이대호,19  DH,-1.69,549,16,0.285,0.355,0.435,1.57,250000
정의윤,19  LF,-0.98,419,13,0.282,0.342,0.447,1.51,30000
페게로,19  1B,-0.57,214,9,0.286,0.332,0.472,1.41,15000
아수아헤,19  2B,0.39,194,2,0.252,0.356,0.368,1.35,55100
모창민,19  1B,-1.01,386,10,0.305,0.358,0.466,1.32,30000
이성열,19  RF,-2.18,476,21,0.256,0.343,0.464,1.3,32000
박찬호,19  3B,0.86,541,2,0.26,0.3,0.317,1.26,4200
송민섭,19  LF,0.81,64,0,0.302,0.397,0.34,1.25,3300
김성욱,19  CF,0.41,333,9,0.23,0.302,0.387,1.21,13000
이원석,19  3B,-0.88,455,19,0.246,0.327,0.441,1.19,30000
정주현,19  2B,0.96,425,2,0.231,0.291,0.309,1.18,8000
오태곤,19  1B,-0.29,392,6,0.25,0.316,0.352,1.17,8300
유민상,19  1B,-0.51,202,5,0.291,0.386,0.463,1.11,4300
손시헌,19  SS,0.61,149,2,0.267,0.317,0.356,0.98,50000
김민하,19  LF,0.68,140,2,0.256,0.319,0.352,0.95,3900
